ID_Cliente,Nombre_Empresa,Contacto_Principal,Email,Ciudad,Industria,Fuente_Lead,Fecha_Registro
bdd640fb,"Grupo Garica, Chávez y Canales",Sr(a). Rosa Pichardo,anguianoaurelio@grupo.com,Vieja Estados Unidos de América,Retail,Linkedin,2024-11-07
de8a774b,Crespo e Hijos,Jacinto Ledesma,esmeraldamiramontes@caballero-olivares.com,San Jaime los altos,Finanzas,Referido,2024-06-17
759cde66,Ochoa-Berríos,Mtro. Soledad Nájera,angelaarmenta@proyectos.com,Vieja Guinea,Finanzas,Linkedin,2024-11-11
29a3b2e9,Mota-Fuentes e Hijos,Vicente Angélica de la Torre Tejeda,daliarios@jiminez.com,Nueva Argentina,Finanzas,Evento,2025-08-11
10f1bc81,Industrias Mascareñas y Galindo,Leonardo Reynoso,gabinochavez@laboratorios.com,San Rodolfo los bajos,Salud,Email Cold,2024-09-01
2369b584,Bustos y Arreola y Asociados,Cristian Crespo Pichardo,olmosjuana@tafoya.com,Vieja Somalia,Manofactura,Evento,2024-08-15
287d06ca,Acosta y Irizarry S. R.L. de C.V.,Natividad Bernabé Lugo,cristiannino@industrias.org,San Minerva de la Montaña,Manofactura,Evento,2024-02-19
fc3e058b,"Grupo Baeza, Guajardo y Valverde",Arturo Ruelas Barrientos,carolinaroldan@corporacin.biz,Nueva Tuvalu,Salud,Evento,2024-07-24
a65e688e,Quezada-Sierra S.C.,Fernando Garza Barela,alejandra98@industrias.com,Nueva Belarús,Finanzas,Linkedin,2025-10-28
1223b513,Corporacin Ruelas y Gallegos,Dr. Reina Velázquez,yguerra@palomo.com,San Joaquín los bajos,Tecnologias,Referido,2024-10-09
0dde29a6,Ballesteros-Padrón,Bianca Felix Espinosa Espinal,bcintron@corporacin.com,San Paulina de la Montaña,Retail,Referido,2024-01-03
d605e770,Cabán y Asociados,Daniela Lorenzo Ruelas,zgallardo@de.com,San Gabino los bajos,Finanzas,Website,2024-07-03
bb026576,Correa y Espinal S.A. de C.V.,Ana Luisa Ricardo Torres,martinezana-luisa@viera.net,Nueva Palau,Tecnologias,Linkedin,2024-01-26
98543881,Gollum-Páez,Rebeca Gurule Véliz,bonillalourdes@ibarra-flores.com,Vieja Liechtenstein,Finanzas,Website,2024-03-05
750cab75,Beltrán-Aguirre S.C.,Ing. Benito Benavides,natividadjaimes@corporacin.com,San Cristina los bajos,Consultoria,Website,2025-09-02
9c96e9ec,Urrutia S.A. de C.V.,Cecilia Jaime Carrillo,uribecristal@corporacin.com,San Natalia los bajos,Retail,Referido,2024-06-07
0d01280f,Piña-Lebrón,Abelardo Merino Cedillo,cynthia78@valentin.com,Nueva Kiribati,Finanzas,Evento,2025-02-19
20a04502,Manzanares S.A. de C.V.,Jorge Gaitán Haro,morenorafael@correa.com,San Alberto de la Montaña,Tecnologias,Referido,2025-06-19
ee49f329,"Guzmán, Jaramillo y Crespo",Juana Arellano Rodrígez,elvirarincon@magana-gil.com,Vieja Islas Marshall,Consultoria,Evento,2024-06-28
c5f8bc16,"Corporacin Saucedo, Pabón y Terán",Alicia Camilo Ibarra Domínguez,alfonso19@montano.org,Vieja República Dominicana,Tecnologias,Referido,2024-04-20
6fa17735,Solís y Asociados,Dr. José Prado,menendezsofia@castellanos-macias.com,San Itzel los bajos,Retail,Website,2025-05-19
311c6eb6,"Ojeda, Delgado y Varela",Leticia Pascual Abrego Maestas,enrique69@rivero-quintanilla.com,San Darío los altos,Consultoria,Email Cold,2024-01-29
a2086977,Cabán-Gollum e Hijos,Espartaco Elvia Contreras Alvarado,guevaramartin@resendez-pedroza.org,Vieja Nueva Zelandia,Finanzas,Linkedin,2024-09-30
b00805cc,Carbajal y Asociados,Estefanía del Valle,jarteaga@proyectos.com,San Yeni los altos,Salud,Email Cold,2025-02-01
c1581092,Santana y Polanco y Asociados,Lic. Cristobal Roldán,whuerta@proyectos.info,Vieja Mauritania,Tecnologias,Website,2024-01-24
458f1f19,Maya-Toledo A.C.,Cornelio Esther Olivera,ernestobarela@pantoja.info,San Anel de la Montaña,Consultoria,Evento,2025-09-01
c51155ff,Velásquez S.C.,Abraham Mora,julio68@club.biz,San Alicia los bajos,Finanzas,Email Cold,2024-08-12
67814c1f,Proyectos Robles-Cavazos,Ing. Aldonza Orta,botellotrinidad@cervantez.com,San Juan los bajos,Retail,Website,2024-05-07
c2dff335,"Ledesma, Pérez y Hernádez",Mariano Almaraz Tirado,montezesparta@arevalo-angulo.com,Nueva Senegal,Salud,Email Cold,2024-03-22
ab61a7b1,Valle-Gamez,Francisco Negrete,samuelzepeda@davila-marquez.com,Vieja República Dominicana,Consultoria,Email Cold,2025-05-04
658b2523,Despacho Villarreal y Guerra,Hermelinda Zapata Casárez,montenegrooscar@nevarez.com,Vieja Noruega,Salud,Linkedin,2024-02-14
a2b5b498,Corral y Puga S.A.,Mtro. Sergio Tijerina,brivero@corporacin.info,Vieja República Democrática del Congo,Salud,Referido,2025-03-13
0758e201,Meléndez y Echeverría S.C.,Joaquín Francisco Javier Molina,ruben48@sierra.com,Vieja Noruega,Retail,Email Cold,2025-01-29
79e13cea,Ramos y Alfaro A.C.,Estela Leticia Guerrero Malave,mario88@pizarro-urbina.com,San Genaro los bajos,Retail,Referido,2024-06-07
314d3441,Casares-Tello y Asociados,Elisa Esmeralda Roybal,rolando89@despacho.com,Vieja Andorra,Manofactura,Email Cold,2025-05-27
0ba6eab9,Uribe S.A. de C.V.,Teodoro Mitzy Candelaria,velagloria@roque.com,Vieja Nicaragua,Consultoria,Referido,2024-02-21
7de31a51,Velázquez-Avilés,Conchita Ramón Maestas,guzmancaridad@zelaya.net,San María del Carmen los bajos,Tecnologias,Evento,2024-07-12
6dc7cac7,"Industrias Balderas, Camacho y Franco",Gabino Virginia Bonilla,eveliodelgadillo@cortez-acevedo.biz,San Rosario los bajos,Manofactura,Website,2024-07-08
b4fb0eb9,"Laboratorios Rendón, Batista y González",Socorro Rolando Fajardo Pizarro,tovarespartaco@corporacin.com,Vieja Rwanda,Consultoria,Linkedin,2025-06-28
49e2623d,Castellanos y Rocha e Hijos,Karina Georgina Sanches Tirado,fquezada@preciado.com,San Aldonza de la Montaña,Retail,Email Cold,2024-05-20
dc4ad56b,Jiménez S. R.L. de C.V.,Delia Rodrígez Solano,lledesma@salazar.com,San Isabela los bajos,Manofactura,Referido,2025-04-28
546e035a,"Saldivar, Lomeli y Pacheco",Sr(a). María Elena Bueno,flavio51@serrano.info,San Ana de la Montaña,Manofactura,Email Cold,2024-12-31
7f9d3e64,Ávalos y Figueroa S.A. de C.V.,Dr. Graciela Quezada,bcasas@laboratorios.net,Vieja Bosnia y Herzegovina,Consultoria,Evento,2024-05-17
1d0bc9bd,Carvajal y Corrales S.C.,Nancy Georgina Pelayo Rosas,dguerrero@club.net,Nueva Guatemala,Retail,Linkedin,2025-07-17
57021049,"Proyectos Acevedo, Leyva y Lugo",Ing. Victoria Saiz,mariselatijerina@montano.net,San María Eugenia los bajos,Manofactura,Evento,2025-09-30
3d225c30,"González, Partida y Armas",Mario Juana Olvera Coronado,iarce@camarillo-quinonez.net,San Adela los altos,Manofactura,Referido,2024-03-15
f84f16b3,Despacho Rodarte-Jaimes,Sofía Leonel Blanco Méndez,omateo@toro.com,Vieja Etiopía,Salud,Email Cold,2025-06-27
1933918c,Quiroz-de la Crúz,Alicia Amalia Meléndez Badillo,jorge56@grupo.org,Nueva Cuba,Consultoria,Evento,2024-01-25
9ea556aa,Club Vergara y Collazo,María Teresa Teodoro Hernández,qherrera@rivero.net,Nueva México,Tecnologias,Website,2024-08-19
a3917c99,"Henríquez, Reyes y Madrid",Juan Carlos Maximiliano Carbajal,juanavazquez@velasco-lucero.com,Vieja Guatemala,Consultoria,Website,2023-12-01
c73f6e1b,Zelaya e Hijos,Gonzalo Godínez,estefania39@laboratorios.com,San Aldo los altos,Retail,Website,2024-09-03
e8dd5e5a,"Corporacin Pelayo, del Río y Fernández",Paola Josefina Tamez,daniel47@laboratorios.com,Nueva Tailandia,Manofactura,Evento,2025-06-09
f79efd70,Bustamante-Ortega A.C.,Omar Carlota Rentería Negrete,rocio65@gonzalez-rodriguez.com,San Santiago de la Montaña,Consultoria,Email Cold,2025-04-11
76da3ca0,"Laboratorios Paredes, Carrión y Cintrón",Alfonso Maestas Salcedo,calderoneugenio@club.net,San Rodrigo los altos,Consultoria,Website,2025-06-11
a7a8f636,Saiz-Pantoja,Alonso José Eduardo Gamboa Quiroz,xgracia@nazario-tovar.com,Vieja Guatemala,Finanzas,Linkedin,2024-04-20
d918b3e5,Bustos y Galindo e Hijos,Sr(a). Amador Merino,carmenvallejo@despacho.org,Nueva Islas Marshall,Salud,Evento,2025-07-18
989240ac,Lebrón y Asociados,Catalina Paola Henríquez,blancaalvarez@despacho.org,San Adriana de la Montaña,Finanzas,Linkedin,2024-06-18
6bc4123e,Barela-Rolón,Jos Serna,razonadia@industrias.com,San Trinidad de la Montaña,Finanzas,Referido,2024-01-11
66d06371,"Cardenas, Salas y Quiroz",Ariadna Medina Zúñiga,andrescastro@industrias.biz,San María Elena los altos,Finanzas,Website,2025-03-09
b3a7d0e0,Ureña-Galván,María Cristina Gil,dmojica@pelayo.biz,San Wendolin los bajos,Retail,Website,2024-09-10
